idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
227,0.612528,0.022819,0.385405,-0.244281,0.197200,-0.949441,-0.422593,-0.893747,-0.150441,0.003744,0.894401
228,0.610222,0.019427,0.385129,-0.232739,0.196762,-0.952427,-0.545972,-0.830650,-0.109253,0.004111,0.898512
229,0.607821,0.016169,0.384625,-0.216156,0.202726,-0.955081,-0.648236,-0.758131,-0.070905,0.004079,0.902592
230,0.605164,0.013431,0.384157,-0.200935,0.215197,-0.955675,-0.730946,-0.681391,-0.037739,0.003843,0.906435
231,0.602288,0.011113,0.384053,-0.201985,0.226751,-0.952778,-0.796779,-0.604176,-0.010704,0.003695,0.910130
232,0.599186,0.009258,0.384127,-0.188911,0.238983,-0.952470,-0.848453,-0.529160,0.010818,0.003616,0.913746
233,0.595797,0.007659,0.384293,-0.175780,0.251134,-0.951858,-0.888478,-0.458065,0.027980,0.003751,0.917497
234,0.592176,0.006589,0.384627,-0.154626,0.265406,-0.951657,-0.919137,-0.391771,0.041267,0.003790,0.921287
235,0.588299,0.006122,0.385097,-0.139204,0.265125,-0.954113,-0.942284,-0.330900,0.051040,0.003933,0.925220
236,0.584266,0.005990,0.385753,-0.133108,0.267917,-0.954203,-0.959448,-0.275922,0.057681,0.004088,0.929308
237,0.579955,0.005910,0.386506,-0.125016,0.270567,-0.954549,-0.971794,-0.227458,0.062276,0.004377,0.933685
238,0.575668,0.005804,0.386902,-0.121796,0.264261,-0.956730,-0.980560,-0.185136,0.065007,0.004307,0.937991
239,0.571619,0.005723,0.387215,-0.102404,0.262657,-0.959440,-0.986876,-0.147879,0.064869,0.004062,0.942053
240,0.567601,0.005731,0.387489,-0.092023,0.256717,-0.962096,-0.991383,-0.115256,0.062256,0.004028,0.946081
241,0.563694,0.005472,0.388586,-0.086660,0.256714,-0.962594,-0.994482,-0.087344,0.058106,0.004065,0.950147
242,0.559543,0.005179,0.389492,-0.071531,0.261148,-0.962645,-0.996529,-0.064231,0.052955,0.004259,0.954406
243,0.555235,0.005222,0.389461,-0.058351,0.263791,-0.962813,-0.997873,-0.045769,0.046411,0.004309,0.958715
