idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
137,0.526704,0.055118,0.500590,0.013659,0.011431,-0.999841,-0.001017,-0.999971,0.007577,0.001484,0.203816
138,0.526701,0.053634,0.500599,0.010670,0.008716,-0.999905,-0.001068,-0.999975,0.006968,0.001484,0.205300
139,0.526698,0.052153,0.500601,0.006342,0.007355,-0.999953,-0.001079,-0.999983,0.005686,0.001481,0.206781
140,0.526696,0.050671,0.500594,0.002012,0.005993,-0.999980,-0.001054,-0.999991,0.003988,0.001482,0.208263
141,0.526695,0.049188,0.500588,-0.003108,0.005794,-0.999978,-0.001003,-0.999997,0.002005,0.001483,0.209746
142,0.526696,0.047704,0.500587,-0.008226,0.005255,-0.999952,-0.000926,-1.000000,-0.000097,0.001484,0.211231
143,0.526697,0.046218,0.500592,-0.013345,0.004716,-0.999900,-0.000839,-0.999997,-0.002229,0.001486,0.212717
144,0.526699,0.044733,0.500641,-0.017136,0.003231,-0.999848,-0.000751,-0.999990,-0.004441,0.001485,0.214202
145,0.526701,0.043250,0.500686,-0.020926,0.002867,-0.999777,-0.000663,-0.999977,-0.006679,0.001484,0.215685
146,0.526702,0.041768,0.500723,-0.024715,0.002502,-0.999691,-0.000568,-0.999962,-0.008653,0.001483,0.217168
147,0.526703,0.040286,0.500759,-0.029001,0.003083,-0.999575,-0.000455,-0.999948,-0.010201,0.001483,0.218651
148,0.526703,0.038795,0.500751,-0.033285,0.003663,-0.999439,-0.000335,-0.999935,-0.011424,0.001491,0.220142
149,0.526703,0.037311,0.500722,-0.037695,0.004114,-0.999281,-0.000232,-0.999925,-0.012267,0.001485,0.221626
150,0.526704,0.035827,0.500700,-0.042100,0.006104,-0.999095,-0.000165,-0.999919,-0.012764,0.001484,0.223110
151,0.526704,0.034343,0.500678,-0.046486,0.010237,-0.998866,-0.000126,-0.999913,-0.013214,0.001484,0.224595
152,0.526703,0.032847,0.500612,-0.052149,0.013074,-0.998554,-0.000113,-0.999904,-0.013849,0.001497,0.226092
153,0.526700,0.031378,0.500449,-0.057806,0.015909,-0.998201,-0.000135,-0.999890,-0.014839,0.001478,0.227570
154,0.526692,0.029900,0.500319,-0.061989,0.014915,-0.997965,-0.000181,-0.999869,-0.016168,0.001484,0.229054
155,0.526687,0.028420,0.500220,-0.066172,0.013921,-0.997711,-0.000241,-0.999845,-0.017577,0.001483,0.230537
156,0.526683,0.026939,0.500120,-0.068559,0.012669,-0.997567,-0.000297,-0.999823,-0.018814,0.001484,0.232021
157,0.526688,0.025434,0.500162,-0.069585,0.012786,-0.997494,-0.000331,-0.999804,-0.019778,0.001506,0.233527
158,0.526694,0.023954,0.500218,-0.070611,0.012903,-0.997420,-0.000345,-0.999789,-0.020532,0.001481,0.235008
159,0.526699,0.022472,0.500249,-0.071637,0.012772,-0.997349,-0.000346,-0.999778,-0.021090,0.001482,0.236490
160,0.526700,0.020988,0.500224,-0.072167,0.012880,-0.997309,-0.000332,-0.999774,-0.021270,0.001484,0.237975
161,0.526700,0.019504,0.500186,-0.072698,0.012989,-0.997269,-0.000295,-0.999779,-0.021000,0.001484,0.239459
162,0.526697,0.018021,0.500138,-0.073228,0.013098,-0.997229,-0.000231,-0.999794,-0.020307,0.001484,0.240942
163,0.526694,0.016539,0.500090,-0.073868,0.011908,-0.997197,-0.000138,-0.999817,-0.019130,0.001484,0.242426
164,0.526696,0.015054,0.500105,-0.074506,0.011523,-0.997154,-0.000019,-0.999846,-0.017576,0.001484,0.243910
165,0.526698,0.013567,0.500117,-0.075144,0.011139,-0.997110,0.000119,-0.999874,-0.015850,0.001487,0.245398
166,0.526695,0.012083,0.500070,-0.077531,0.012113,-0.996916,0.000273,-0.999902,-0.013985,0.001485,0.246883
167,0.526694,0.010599,0.500034,-0.079914,0.014586,-0.996695,0.000427,-0.999928,-0.011981,0.001484,0.248367
168,0.526695,0.009115,0.500018,-0.082295,0.017059,-0.996462,0.000571,-0.999949,-0.010058,0.001484,0.249851
169,0.526696,0.007630,0.500001,-0.084678,0.018458,-0.996237,0.000695,-0.999965,-0.008352,0.001484,0.251336
170,0.526690,0.006149,0.499916,-0.084709,0.017497,-0.996252,0.000792,-0.999976,-0.006885,0.001484,0.252819
171,0.526682,0.004672,0.499806,-0.084627,0.016649,-0.996274,0.000847,-0.999982,-0.005939,0.001481,0.254300
172,0.526672,0.003181,0.499773,-0.084544,0.016060,-0.996290,0.000868,-0.999984,-0.005583,0.001492,0.255792
173,0.526670,0.001697,0.499742,-0.084455,0.013141,-0.996341,0.000871,-0.999984,-0.005504,0.001484,0.257276
174,0.526676,0.000197,0.499761,-0.084392,0.010249,-0.996380,0.000851,-0.999984,-0.005508,0.001500,0.258776
175,0.526695,-0.001278,0.499870,-0.083295,0.008395,-0.996490,0.000817,-0.999985,-0.005446,0.001479,0.260256
176,0.526703,-0.002759,0.499919,-0.082210,0.003863,-0.996608,0.000781,-0.999986,-0.005215,0.001482,0.261737
177,0.526704,-0.004242,0.499921,-0.081122,-0.000670,-0.996704,0.000748,-0.999988,-0.004852,0.001483,0.263221
178,0.526707,-0.005727,0.499923,-0.077124,0.000291,-0.997021,0.000723,-0.999990,-0.004310,0.001485,0.264705
179,0.526712,-0.007213,0.499940,-0.073122,0.001254,-0.997322,0.000703,-0.999994,-0.003422,0.001486,0.266192
180,0.526715,-0.008700,0.499951,-0.067780,0.002072,-0.997698,0.000663,-0.999997,-0.002188,0.001487,0.267678
181,0.526717,-0.010185,0.499938,-0.062432,0.002890,-0.998045,0.000608,-1.000000,-0.000788,0.001485,0.269163
182,0.526720,-0.011669,0.499925,-0.058975,0.001419,-0.998258,0.000561,-1.000000,0.000685,0.001484,0.270648
183,0.526724,-0.013151,0.499960,-0.055518,-0.000053,-0.998458,0.000507,-0.999998,0.002079,0.001482,0.272130
184,0.526730,-0.014631,0.500032,-0.052060,-0.001524,-0.998643,0.000453,-0.999995,0.003218,0.001482,0.273612
185,0.526735,-0.016111,0.500105,-0.049736,-0.000433,-0.998762,0.000404,-0.999991,0.004182,0.001482,0.275094
186,0.526745,-0.017606,0.500083,-0.047411,-0.000462,-0.998875,0.000354,-0.999987,0.005121,0.001495,0.276589
187,0.526742,-0.019097,0.500043,-0.045712,-0.001119,-0.998954,0.000304,-0.999982,0.005986,0.001491,0.278080
188,0.526729,-0.020570,0.499931,-0.043517,-0.001277,-0.999052,0.000246,-0.999978,0.006625,0.001477,0.279558
189,0.526715,-0.022041,0.499819,-0.041322,-0.000759,-0.999146,0.000175,-0.999976,0.006876,0.001475,0.281033
190,0.526722,-0.023538,0.499787,-0.039127,-0.000240,-0.999234,0.000086,-0.999978,0.006590,0.001497,0.282530
191,0.526719,-0.025022,0.499817,-0.037024,-0.001349,-0.999313,0.000008,-0.999983,0.005767,0.001484,0.284014
192,0.526716,-0.026507,0.499835,-0.034921,-0.002458,-0.999387,-0.000044,-0.999989,0.004592,0.001485,0.285500
193,0.526712,-0.027993,0.499849,-0.031539,-0.002272,-0.999500,-0.000081,-0.999994,0.003402,0.001487,0.286986
194,0.526711,-0.029477,0.499863,-0.028156,-0.003351,-0.999598,-0.000102,-0.999997,0.002468,0.001484,0.288470
195,0.526709,-0.030960,0.499876,-0.024783,-0.002076,-0.999691,-0.000103,-0.999998,0.001830,0.001483,0.289953
196,0.526708,-0.032445,0.499953,-0.021916,-0.000296,-0.999760,-0.000066,-0.999999,0.001458,0.001487,0.291440
197,0.526710,-0.033911,0.500128,-0.020839,-0.000321,-0.999783,-0.000005,-0.999999,0.001251,0.001476,0.292916
198,0.526689,-0.035411,0.500197,-0.019762,-0.000385,-0.999805,0.000070,-0.999999,0.001119,0.001502,0.294418
199,0.526692,-0.036895,0.500195,-0.018685,-0.000449,-0.999825,0.000173,-0.999999,0.001032,0.001485,0.295903
200,0.526694,-0.038387,0.500193,-0.017540,-0.000196,-0.999846,0.000297,-0.999999,0.000955,0.001492,0.297394
201,0.526703,-0.039868,0.500119,-0.016890,-0.000441,-0.999857,0.000437,-0.999999,0.000909,0.001483,0.298877
202,0.526709,-0.041351,0.500069,-0.016240,0.000792,-0.999868,0.000594,-0.999999,0.001000,0.001484,0.300361
203,0.526709,-0.042836,0.500110,-0.015590,0.002025,-0.999876,0.000775,-0.999999,0.001243,0.001485,0.301846
204,0.526708,-0.044320,0.500151,-0.016763,0.002838,-0.999855,0.000989,-0.999999,0.001351,0.001485,0.303331
205,0.526709,-0.045812,0.500139,-0.017936,0.003651,-0.999832,0.001250,-0.999999,0.001083,0.001492,0.304823
206,0.526710,-0.047298,0.500094,-0.019109,0.004465,-0.999807,0.001514,-0.999999,0.000465,0.001487,0.306310
207,0.526715,-0.048781,0.500081,-0.018727,0.002716,-0.999821,0.001744,-0.999998,-0.000454,0.001483,0.307792
208,0.526721,-0.050265,0.500074,-0.018352,-0.000531,-0.999831,0.001967,-0.999997,-0.001468,0.001484,0.309276
209,0.526726,-0.051748,0.500058,-0.019290,-0.002446,-0.999811,0.002193,-0.999995,-0.002303,0.001483,0.310760
210,0.526731,-0.053229,0.500010,-0.020229,-0.004361,-0.999786,0.002424,-0.999993,-0.002926,0.001482,0.312241
211,0.526734,-0.054713,0.499964,-0.023501,-0.000904,-0.999723,0.002687,-0.999990,-0.003439,0.001485,0.313726
